id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_murid,satuan,tahun_ajaran
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,61153,ORANG,2015/2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,59843,ORANG,2015/2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,36226,ORANG,2015/2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,46428,ORANG,2015/2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,47270,ORANG,2015/2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,25189,ORANG,2015/2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,20259,ORANG,2015/2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,16997,ORANG,2015/2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,21728,ORANG,2015/2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,20004,ORANG,2015/2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,14632,ORANG,2015/2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,26205,ORANG,2015/2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,15655,ORANG,2015/2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14114,ORANG,2015/2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,18537,ORANG,2015/2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,40886,ORANG,2015/2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,22221,ORANG,2015/2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,9138,ORANG,2015/2016
19,32,JAWA BARAT,3271,KOTA BOGOR,12947,ORANG,2015/2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,8248,ORANG,2015/2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,32287,ORANG,2015/2016
22,32,JAWA BARAT,3274,KOTA CIREBON,12925,ORANG,2015/2016
23,32,JAWA BARAT,3275,KOTA BEKASI,22955,ORANG,2015/2016
24,32,JAWA BARAT,3276,KOTA DEPOK,14282,ORANG,2015/2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,3651,ORANG,2015/2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,14104,ORANG,2015/2016
27,32,JAWA BARAT,3279,KOTA BANJAR,3211,ORANG,2015/2016
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,66121,ORANG,2016/2017
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,31692,ORANG,2016/2017
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,30570,ORANG,2016/2017
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,50712,ORANG,2016/2017
32,32,JAWA BARAT,3205,KABUPATEN GARUT,15893,ORANG,2016/2017
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,42540,ORANG,2016/2017
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,18977,ORANG,2016/2017
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,14177,ORANG,2016/2017
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,18018,ORANG,2016/2017
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,15908,ORANG,2016/2017
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,22655,ORANG,2016/2017
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,18838,ORANG,2016/2017
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,21934,ORANG,2016/2017
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,15581,ORANG,2016/2017
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,32972,ORANG,2016/2017
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,49648,ORANG,2016/2017
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,24492,ORANG,2016/2017
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3977,ORANG,2016/2017
46,32,JAWA BARAT,3271,KOTA BOGOR,61965,ORANG,2016/2017
47,32,JAWA BARAT,3272,KOTA SUKABUMI,20161,ORANG,2016/2017
48,32,JAWA BARAT,3273,KOTA BANDUNG,8330,ORANG,2016/2017
49,32,JAWA BARAT,3274,KOTA CIREBON,12759,ORANG,2016/2017
50,32,JAWA BARAT,3275,KOTA BEKASI,41006,ORANG,2016/2017
51,32,JAWA BARAT,3276,KOTA DEPOK,24267,ORANG,2016/2017
52,32,JAWA BARAT,3277,KOTA CIMAHI,9120,ORANG,2016/2017
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,14535,ORANG,2016/2017
54,32,JAWA BARAT,3279,KOTA BANJAR,3353,ORANG,2016/2017
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,65388,ORANG,2017/2018
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,28364,ORANG,2017/2018
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,27190,ORANG,2017/2018
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,50152,ORANG,2017/2018
59,32,JAWA BARAT,3205,KABUPATEN GARUT,38287,ORANG,2017/2018
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,17455,ORANG,2017/2018
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,13263,ORANG,2017/2018
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,17591,ORANG,2017/2018
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,22430,ORANG,2017/2018
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,15480,ORANG,2017/2018
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,15581,ORANG,2017/2018
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,18772,ORANG,2017/2018
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,21129,ORANG,2017/2018
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14430,ORANG,2017/2018
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,32230,ORANG,2017/2018
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,49379,ORANG,2017/2018
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,23795,ORANG,2017/2018
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3972,ORANG,2017/2018
73,32,JAWA BARAT,3271,KOTA BOGOR,20138,ORANG,2017/2018
74,32,JAWA BARAT,3272,KOTA SUKABUMI,8324,ORANG,2017/2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,61568,ORANG,2017/2018
76,32,JAWA BARAT,3274,KOTA CIREBON,12801,ORANG,2017/2018
77,32,JAWA BARAT,3275,KOTA BEKASI,42185,ORANG,2017/2018
78,32,JAWA BARAT,3276,KOTA DEPOK,24312,ORANG,2017/2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,9058,ORANG,2017/2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,14509,ORANG,2017/2018
81,32,JAWA BARAT,3279,KOTA BANJAR,3294,ORANG,2017/2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,69802,ORANG,2018/2019
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,34945,ORANG,2018/2019
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,32476,ORANG,2018/2019
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,53167,ORANG,2018/2019
86,32,JAWA BARAT,3205,KABUPATEN GARUT,44737,ORANG,2018/2019
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,21034,ORANG,2018/2019
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,15080,ORANG,2018/2019
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,18142,ORANG,2018/2019
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,21822,ORANG,2018/2019
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,16736,ORANG,2018/2019
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,16519,ORANG,2018/2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,18298,ORANG,2018/2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,23046,ORANG,2018/2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,15199,ORANG,2018/2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,31164,ORANG,2018/2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,49332,ORANG,2018/2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,26552,ORANG,2018/2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,4188,ORANG,2018/2019
100,32,JAWA BARAT,3271,KOTA BOGOR,19741,ORANG,2018/2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,8108,ORANG,2018/2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,60866,ORANG,2018/2019
103,32,JAWA BARAT,3274,KOTA CIREBON,12331,ORANG,2018/2019
104,32,JAWA BARAT,3275,KOTA BEKASI,42082,ORANG,2018/2019
105,32,JAWA BARAT,3276,KOTA DEPOK,24677,ORANG,2018/2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,9161,ORANG,2018/2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,14739,ORANG,2018/2019
108,32,JAWA BARAT,3279,KOTA BANJAR,3484,ORANG,2018/2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,71831,ORANG,2019/2020
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,31786,ORANG,2019/2020
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,29142,ORANG,2019/2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,53574,ORANG,2019/2020
113,32,JAWA BARAT,3205,KABUPATEN GARUT,41156,ORANG,2019/2020
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,20727,ORANG,2019/2020
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,15068,ORANG,2019/2020
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,18292,ORANG,2019/2020
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,21874,ORANG,2019/2020
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,15644,ORANG,2019/2020
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,16749,ORANG,2019/2020
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,18433,ORANG,2019/2020
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,22546,ORANG,2019/2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14205,ORANG,2019/2020
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,28683,ORANG,2019/2020
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,50200,ORANG,2019/2020
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,25460,ORANG,2019/2020
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,4432,ORANG,2019/2020
127,32,JAWA BARAT,3271,KOTA BOGOR,19920,ORANG,2019/2020
128,32,JAWA BARAT,3272,KOTA SUKABUMI,7756,ORANG,2019/2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,59541,ORANG,2019/2020
130,32,JAWA BARAT,3274,KOTA CIREBON,12032,ORANG,2019/2020
131,32,JAWA BARAT,3275,KOTA BEKASI,42650,ORANG,2019/2020
132,32,JAWA BARAT,3276,KOTA DEPOK,24426,ORANG,2019/2020
133,32,JAWA BARAT,3277,KOTA CIMAHI,9215,ORANG,2019/2020
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,14730,ORANG,2019/2020
135,32,JAWA BARAT,3279,KOTA BANJAR,3378,ORANG,2019/2020
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,74278,ORANG,2020/2021
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,33927,ORANG,2020/2021
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,30755,ORANG,2020/2021
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,55101,ORANG,2020/2021
140,32,JAWA BARAT,3205,KABUPATEN GARUT,42982,ORANG,2020/2021
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,21905,ORANG,2020/2021
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,15277,ORANG,2020/2021
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,18627,ORANG,2020/2021
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,21653,ORANG,2020/2021
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,15900,ORANG,2020/2021
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,17086,ORANG,2020/2021
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,18906,ORANG,2020/2021
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,23203,ORANG,2020/2021
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14422,ORANG,2020/2021
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,28711,ORANG,2020/2021
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,51373,ORANG,2020/2021
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,26771,ORANG,2020/2021
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,4567,ORANG,2020/2021
154,32,JAWA BARAT,3271,KOTA BOGOR,20215,ORANG,2020/2021
155,32,JAWA BARAT,3272,KOTA SUKABUMI,7899,ORANG,2020/2021
156,32,JAWA BARAT,3273,KOTA BANDUNG,58865,ORANG,2020/2021
157,32,JAWA BARAT,3274,KOTA CIREBON,12363,ORANG,2020/2021
158,32,JAWA BARAT,3275,KOTA BEKASI,43436,ORANG,2020/2021
159,32,JAWA BARAT,3276,KOTA DEPOK,25881,ORANG,2020/2021
160,32,JAWA BARAT,3277,KOTA CIMAHI,9298,ORANG,2020/2021
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,15204,ORANG,2020/2021
162,32,JAWA BARAT,3279,KOTA BANJAR,3351,ORANG,2020/2021
